Technology,Region,Aeo_case,Aeo_year,Data_type,Size,Year,Unit,Value
PHEV40,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,6648
BEV100,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,731
BEV300,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,9185
CNG,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,290
FCV,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,137
FFV,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,10672
HEV,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,23475
ICEV-D,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,373
ICEV-G,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,347059
PHEV20,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1436
PHEV40,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,4364
BEV100,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,2965
BEV300,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,38303
CNG,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1020
FCV,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,455
FFV,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,39348
HEV,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,92852
ICEV-D,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1662
ICEV-G,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1308155
PHEV20,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,4855
PHEV40,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,17784
BEV100,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,3375
BEV300,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,47669
CNG,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1212
